source_field	include_value	exclude_value	filter_group_id	comments
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_Halland_5		
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_Halland_6		
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2019_PELA_ACLST		
dataset_name		SHARK_Zoobenthos_2019_PELA_BDLST		
#dataset_name		SHARK_Zoobenthos_2019_SLC-T_Bratten		Borttaget paket pga omleverans
dataset_name		SHARK_Zoobenthos_2019_SLUA_FORS		
dataset_name		SHARK_Zoobenthos_2019_SWECO_YLST		
dataset_name		SHARK_Zoobenthos_2020_2021_MEDINS		
dataset_name		SHARK_Zoobenthos_2020_BILKBG		
dataset_name		SHARK_Zoobenthos_2020_DEEP_ABLST		
dataset_name		SHARK_Zoobenthos_2020_DEEP_DLST		
dataset_name	SHARK_Zoobenthos_2020_DEEP_HAV			
dataset_name	SHARK_Zoobenthos_2020_DEEP_HAV_Asko			
dataset_name		SHARK_Zoobenthos_2020_DEEP_ILST		
dataset_name	SHARK_Zoobenthos_2020_LNU			
dataset_name		SHARK_Zoobenthos_2020_LNU_HLST		
dataset_name		SHARK_Zoobenthos_2020_LNU_KLKK_BLK		
dataset_name		SHARK_Zoobenthos_2020_LNU_KLKK_KAL		
dataset_name		SHARK_Zoobenthos_2020_NIRAS_OVF		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_1		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_2		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_3		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_4		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_5		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_6		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_7		
dataset_name		SHARK_Zoobenthos_2020_PAG_NLST_9		
